30_001,30_002,30_003,30_004,30_005,30_006,30_007,30_008,30_009,30_010
2195,,1,2,2,0,10202,10202,,
2196,,2,1,0,0,20100,20100,,
2197,,1,6,0,0,10600,10600,,
2198,,2,2,0,0,20200,20200,,
2199,,2,13,0,0,21300,21300,,
2200,,2,3,0,0,20300,20300,,
2201,,3,3,8,0,30308,30308,,
2202,,2,2,0,0,20200,20200,,
2203,,2,1,0,0,20100,20100,,
2204,,3,3,8,0,30308,30308,,
2205,,3,3,8,0,30308,30308,,
2206,,1,2,1,0,10201,10201,,
2207,,2,2,0,0,20200,20100,,
2208,,2,16,0,0,21600,21600,,
2209,,1,2,2,0,10202,10202,,
2210,,3,2,1,0,30201,30201,,
2211,,2,1,0,0,20100,20100,,
2212,,3,3,8,0,30308,30308,,
2213,,1,2,1,0,10201,10201,,
2214,,3,3,8,0,30308,30308,,
2215,,1,2,1,0,10201,30205,,
2216,,1,2,2,0,10202,10202,,
2217,,3,2,4,0,30204,30205,,
2218,,3,3,6,0,30306,30306,,
2219,,1,2,2,0,10202,30308,,
2220,,2,1,0,0,20100,20100,,
2221,,1,3,0,0,10300,10300,,
2222,,2,1,0,0,20100,20100,,
2223,,1,6,0,0,10600,10600,,
2224,,3,4,0,0,30400,30400,,
2225,,2,13,0,0,21300,21300,,
2226,,3,3,8,0,30308,30308,,
2227,,1,2,2,0,10202,10202,,
2228,,2,1,0,0,20100,20100,,
2229,,2,3,0,0,20300,20300,,
2230,,2,16,0,0,21600,21600,,
2231,,1,3,0,0,10300,10300,,
2232,,2,1,0,0,20100,20100,,
2233,,3,2,3,0,30203,30203,,
2234,,2,20,0,0,22000,22000,,
2235,,1,2,2,0,10202,10202,,
2236,,1,2,1,0,10201,10201,,
2237,,1,2,1,0,10201,10201,,
2238,,3,2,3,0,30203,30203,,
2239,,2,1,0,0,20100,20100,,
2240,,2,1,0,0,20100,20100,,
2241,,2,14,0,0,21400,21400,,
2242,,1,2,2,0,10202,10202,,
2243,,3,3,8,0,30308,21400,,
2244,,2,4,0,0,20400,20400,,
2245,,3,3,8,0,30308,30308,,
2246,,2,1,0,0,20100,20100,,
2247,,3,2,3,0,30203,30203,,
2248,,1,2,2,0,10202,10202,,
2249,,2,3,0,0,20300,20300,,
2250,,1,2,1,0,10201,10201,,
2251,,2,1,0,0,20100,20100,,
2252,,2,16,0,0,21600,21600,,
2253,,2,2,0,0,20200,20200,,
2254,,1,2,2,0,10202,10202,,
2255,,2,13,0,0,21300,21300,,
2256,,1,2,1,0,10201,10201,,
2257,,3,3,8,0,30308,30308,,
2258,,2,1,0,0,20100,20100,,
2259,,3,3,8,0,30308,30308,,
2260,,3,3,8,0,30308,30308,,
2261,,3,3,8,0,30308,30308,,
2262,,1,2,2,0,10202,10202,,
2263,,3,3,8,0,30308,30308,,
2264,,1,2,1,0,10201,10201,,
2265,,2,2,0,0,20200,20200,,
2266,,3,3,7,0,30307,30307,,
2267,,1,5,0,0,10500,10500,,
2268,,1,2,2,0,10202,10202,,
2269,,2,13,0,0,21300,21300,,
2270,,1,2,2,0,10202,10202,,
2271,,1,6,0,0,10600,10600,,
2272,,1,6,0,0,10600,10600,,
2273,,1,2,1,0,10201,10201,,
2274,,1,2,2,0,10202,10202,,
2275,,1,6,0,0,10600,10600,,
2276,,1,2,2,0,10202,10202,,
2277,,1,2,1,0,10201,10201,,
2278,,3,3,7,0,30307,30307,,
2279,,1,2,1,0,10201,10201,,
2280,,2,1,0,0,20100,20100,,
2281,,1,2,1,0,10201,10201,,
2282,,1,5,0,0,10500,10500,,
2283,,1,2,1,0,10201,10201,,
2284,,3,3,7,0,30307,30307,,
2285,,3,3,8,0,30308,30308,,
2286,,1,2,1,0,10201,10201,,
2287,,3,2,1,0,30201,30205,,
2288,,2,1,0,0,20100,20100,,
2289,,3,3,7,0,30307,30307,,
2290,,2,2,0,0,20200,20200,,
2291,,1,2,2,0,10202,10202,,
2292,,3,3,8,0,30308,30308,,
2293,,2,1,0,0,20100,20100,,
2294,,2,1,0,0,20100,20100,,
2295,,1,6,0,0,10600,10600,,
2296,,3,3,7,0,30307,30307,,
2297,,1,3,0,0,10300,10300,,
2298,,3,2,1,0,30201,30201,,
2299,,2,7,0,0,20700,20700,,
2300,,1,2,2,0,10202,22000,,
2301,,1,3,0,0,10300,10300,,
2302,,1,6,0,0,10600,10600,,
2303,,2,1,0,0,20100,20100,,
2304,,2,20,0,0,22000,22000,,
2305,,2,13,0,0,21300,21300,,
2306,,1,6,0,0,10600,10600,,
2307,,1,2,2,0,10202,10202,,
2308,,1,2,2,0,10202,10202,,
2309,,2,20,0,0,22000,22000,,
2310,,1,2,1,0,10201,10201,,
2311,,1,1,2,0,10102,10102,,
2312,,2,20,0,0,22000,30205,,
2313,,3,3,8,0,30308,30308,,
2314,,2,7,0,0,20700,20700,,
2315,,1,2,2,0,10202,10202,,
2316,,1,6,0,0,10600,10600,,
2317,,1,6,0,0,10600,10600,,
2318,,2,14,0,0,21400,21400,,
2319,,1,6,0,0,10600,10600,,
2320,,1,2,1,0,10201,10201,,
2321,,1,5,0,0,10500,10500,,
2322,,1,2,2,0,10202,10202,,
2323,,1,3,0,0,10300,10300,,
2324,,1,6,0,0,10600,10600,,
2325,,2,16,0,0,21600,21600,,
2326,,2,1,0,0,20100,30307,,
2327,,1,5,0,0,10500,10500,,
2328,,1,2,1,0,10201,10201,,
2329,,1,6,0,0,10600,10600,,
2330,,1,2,2,0,10202,10202,,
2331,,2,13,0,0,21300,21300,,
2332,,2,3,0,0,20300,20300,,
2333,,2,1,0,0,20100,20100,,
2334,,2,1,0,0,20100,20100,,
2335,,2,13,0,0,21300,21300,,
2336,,2,14,0,0,21400,21400,,
2337,,2,13,0,0,21300,21300,,
2338,,1,6,0,0,10600,10600,,
2339,,2,13,0,0,21300,21300,,
2340,,3,3,8,0,30308,30308,,
2341,,2,7,0,0,20700,20700,,
2342,,1,2,2,0,10202,10202,,
2343,,2,1,0,0,20100,20100,,
2344,,2,13,0,0,21300,21300,,
2345,,2,1,0,0,20100,20100,,
2346,,1,2,2,0,10202,10202,,
2347,,2,2,0,0,20200,20200,,
2348,,1,2,2,0,10202,10202,,
2349,,3,3,8,0,30308,30308,,
2350,,2,14,0,0,21400,21400,,
2351,,2,1,0,0,20100,20100,,
2352,,1,2,2,0,10202,10202,,
2353,,1,2,2,0,10202,30205,,
2354,,2,13,0,0,21300,21300,,
2355,,3,3,7,0,30307,30307,,
2356,,1,6,0,0,10600,10600,,
2357,,2,1,0,0,20100,20100,,
2358,,1,6,0,0,10600,10600,,
2359,,3,3,8,0,30308,30308,,
2360,,1,3,0,0,10300,10300,,
2361,,1,2,2,0,10202,10202,,
2362,,2,20,0,0,22000,22000,,
2363,,1,3,0,0,10300,10300,,
2364,,1,2,2,0,10202,30308,,
2365,,1,2,2,0,10202,22000,,
2366,,3,3,7,0,30307,30307,,
2367,,2,1,0,0,20100,20100,,
2368,,2,13,0,0,21300,21300,,
2369,,1,6,0,0,10600,10600,,
2370,,1,2,2,0,10202,10202,,
2371,,2,1,0,0,20100,20100,,
2372,,2,1,0,0,20100,20600,,
2373,,2,14,0,0,21400,21400,,
2374,,1,2,2,0,10202,30308,,
2375,,1,6,0,0,10600,10600,,
2376,,1,2,1,0,10201,10201,,
2377,,1,3,0,0,10300,10300,,
2378,,2,1,0,0,20100,20100,,
2379,,3,3,8,0,30308,30308,,
2380,,1,2,2,0,10202,10202,,
2381,,1,2,1,0,10201,10201,,
2382,,2,14,0,0,21400,21400,,
2383,,2,20,0,0,22000,22000,,
2384,,2,13,0,0,21300,21300,,
2385,,3,3,8,0,30308,30308,,
2386,,2,13,0,0,21300,21300,,
2387,,1,2,1,0,10201,10201,,
2388,,2,16,0,0,21600,21600,,
2389,,1,2,1,0,10201,10201,,
2390,,2,19,0,0,21900,21900,,
2391,,2,19,0,0,21900,21900,,
2392,,2,20,0,0,22000,22000,,
2393,,2,20,0,0,22000,22000,,
2394,,1,2,1,0,10201,10201,,
2395,,2,20,0,0,22000,22000,,
2396,,1,3,0,0,10300,10300,,
2397,,2,13,0,0,21300,21300,,
2398,,1,1,2,0,10102,10102,,
2399,,2,1,0,0,20100,20100,,
2400,,1,2,1,0,10201,10201,,
2401,,2,1,0,0,20100,20100,,
2402,,2,1,0,0,20100,20300,,
2403,,3,3,8,0,30308,30308,,
2404,,1,7,2,0,10702,10702,,
2405,,1,7,1,0,10701,10701,,
2406,,2,1,0,0,20100,20100,,
2407,,3,3,8,0,30308,30308,,
2408,,1,6,0,0,10600,10600,,
2409,,3,3,8,0,30308,30308,,
2410,,2,1,0,0,20100,20100,,
2411,,1,2,2,0,10202,10202,,
2412,,1,2,1,0,10201,30205,,
2413,,2,14,0,0,21400,21400,,
2414,,1,7,2,0,10702,10702,,
2415,,1,2,1,0,10201,10201,,
2416,,2,1,0,0,20100,20100,,
2417,,1,2,2,0,10202,10202,,
2418,,1,2,2,0,10202,10202,,
2419,,1,3,0,0,10300,10300,,
2420,,1,6,0,0,10600,10600,,
2421,,3,2,3,0,30203,21400,,
2422,,1,2,2,0,10202,10202,,
2423,,2,14,0,0,21400,21400,,
2424,,1,2,1,0,10201,10201,,
2425,,1,2,2,0,10202,10202,,
2426,,1,6,0,0,10600,10600,,
2427,,2,1,0,0,20100,20100,,
2428,,2,14,0,0,21400,21400,,
2429,,1,5,0,0,10500,10500,,
2430,,2,1,0,0,20100,20100,,
2431,,1,3,0,0,10300,10300,,
2432,,3,3,8,0,30308,30308,,
2433,,3,2,4,0,30204,30205,,
2434,,1,6,0,0,10600,10600,,
2435,,1,6,0,0,10600,10600,,
2436,,2,14,0,0,21400,21400,,
2437,,1,6,0,0,10600,10600,,
2438,,2,3,0,0,20300,20300,,
2439,,3,3,6,0,30306,30306,,
2440,,2,16,0,0,21600,21600,,
2441,,1,6,0,0,10600,10600,,
2442,,1,2,1,0,10201,10201,,
2443,,1,6,0,0,10600,10600,,
2444,,2,1,0,0,20100,20100,,
2445,,2,1,0,0,20100,20100,,
2446,,1,2,1,0,10201,10201,,
2447,,2,1,0,0,20100,20100,,
2448,,2,12,0,0,21200,21200,,
2449,,1,3,0,0,10300,10300,,
2450,,1,2,1,0,10201,10201,,
2451,,1,6,0,0,10600,10600,,
2452,,1,3,0,0,10300,10300,,
2453,,1,5,0,0,10500,10500,,
2454,,2,1,0,0,20100,20100,,
2455,,1,3,0,0,10300,30201,,
2456,,1,7,2,0,10702,10202,,
2457,,1,2,1,0,10201,10201,,
2458,,2,1,0,0,20100,20100,,
2459,,2,7,0,0,20700,20700,,
2460,,1,2,2,0,10202,10202,,
2461,,2,1,0,0,20100,20100,,
2462,,3,3,8,0,30308,30308,,
2463,,1,7,1,0,10701,10701,,
2464,,2,13,0,0,21300,21300,,
2465,,1,2,2,0,10202,10202,,
2466,,2,1,0,0,20100,20100,,
2467,,2,20,0,0,22000,22000,,
2468,,1,2,2,0,10202,10202,,
2469,,3,3,8,0,30308,30308,,
2470,,2,16,0,0,21600,21600,,
2471,,3,2,4,0,30204,30205,,
2472,,3,2,4,0,30204,21400,,
2473,,2,20,0,0,22000,22000,,
2474,,1,2,2,0,10202,10202,,
2475,,2,13,0,0,21300,21300,,
2476,,3,2,4,0,30204,21400,,
2477,,3,3,8,0,30308,30308,,
2478,,2,1,0,0,20100,20300,,
2479,,1,2,1,0,10201,10201,,
2480,,3,3,8,0,30308,30308,,
